i,Êtitle,Êtype,Êsubject,Êlevel,ÊmodifiedBy,Êstatus,ÊownerGroup,Êlink,ÊconceptMaps
14,Expressions for Centripetal Acceleration (Lesson 3/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a3455057-f33c-4346-b8ee-c2815e3ed847/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
15,Energy in Simple Harmonic Motion (Lesson 4/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c734440e-abbc-4319-afff-7a0e4ac4c253/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
16,Gravitational Potential and Potential Energy (Lesson 5/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/69b07126-bdfa-48ea-a5af-6644f9e5d6d3/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
17,Kinematics of Simple Harmonic Motion (Lesson 2/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/533b93e2-59f5-4e3d-a07d-5ed84c2f875e/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
18,Kinematics: Representing Motion in Space and Time [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c7768927-9fc6-4d20-b7e6-968c9c288520/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
19,Calculating gravitational field strength (Lesson 4/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/30a6353b-10d7-4fdc-92b3-1a125be43a23/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
20,Damped and Forced Oscillations (Lesson 5/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/02879af5-3aa4-4cef-ac87-fc15239570ed/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
21,Simple Harmonic Motion (Lesson 1/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fcefbb98-8fac-4178-a59f-2ce9ca3f520e/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
22,Gravitational field strength (Lesson 3/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c93018a3-375f-431b-9a71-67a5e9ed589e/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
23,Stationary (or Standing) Sound Waves [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b10034ef-f8b7-455e-9347-eb077eb0de46/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
24,The Photoelectric Effect (Lesson 1/2) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/eac6e056-449b-4239-ac8b-330f222e4995/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
25,The Combined Gas Law [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e12ef159-967f-4e2b-85bf-9803bee5d70b/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
26,Two-body Newtonian Gravity [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5eb7ca2f-0cbd-4112-8ede-3865daca1acb/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
27,Two-body Spring System [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5e633f70-18c7-451b-9c81-8723b9b9d819/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
28,Digital Literacy -- Spreadsheets in Science Experiments [Lesson 2/2],Lesson,Biology,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a729397c-8309-4cdb-87bd-b3427d18df0a/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
29,Sustainability: Solar Panels,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/990b330b-8e05-4fb1-b35f-fd5024ebade8/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
30,How does a magnetometer work?,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/bdbc8e5d-2367-40e2-b681-b8bb72334749/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
31,Vehicle Emissions and Biofuels,Lesson,Biology,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/11d78498-90c0-43b4-a6f0-732983e4f916/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
32,Electric Potential and Potential Energy [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e80c871a-3501-4fdd-bb13-09070cbd8066/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
33,Copy (this is a backup) of Electric Potential and Potential Energy [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6ebaf2e8-ce22-4c61-bae2-edace6b1df91/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
34,Nuclear Fusion and Fission (Lesson 4/4) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/541d1655-5a7e-4d18-b926-c84acc5717a7/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
35,"(unpublished after making copy, this is a backup) Forces in Electric Fields [H2 Physics]",Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b2715484-bf9a-4245-8a96-83670c5ebdec/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
36,Introduction to Sensors [Pre-U Science],Lesson,Biology,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2d940c53-b0e6-49ad-91f1-79ac89683701/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
37,[Collab with Nexus and EJC] Projectile Motion,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fe18c676-bd7d-4f15-8e7d-d3bb47e4ae88/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
38,How does an accelerometer work?,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/796d9892-f720-40e0-bd0f-f95f653a6a97/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
39,Electric Field [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f88f5bf9-5779-4f92-a9da-9ce4e3d4dbf2/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
40,Electric Field [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",5-Mar-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f8eeec98-5d9e-4118-a4bd-226203894396/cover,Pre-U Physics (H2)  > Oscillations and Waves > Oscillations
41,Uniform Electric Fields [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0846bf51-4dba-44aa-846f-c763728ce588/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
42,Uniform Electric Fields [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0c93c08f-a41c-4376-90f7-b753ee1ba235/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
43,Interferometry [H2/H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3ea40c99-dfe8-4c94-b264-980434bba9d9/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
44,Projectile Motion - Misconceptions [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8b5760f1-eb4e-477c-8221-1a424abc8efd/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
45,Variational Methods in Physics [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b408852e-19a3-4784-bf66-1802936980e0/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
46,Electronic Structure of Atoms [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/004f54d7-de6f-435b-97ed-0ac99ce65b41/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
47,Current and Charge [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/cf82f200-978e-43e1-af1b-c0861d229d2b/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
48,Atomic Models [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b6b61e5a-1523-4889-92af-a3b73e21509a/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
49,Uncertainty [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b1e69082-43d8-493e-9491-421ccf1233e3/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
50,Physical Quantities and SI units [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e091c690-117d-425d-bca2-72e7db54c258/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
51,Homogeneous Equations and the Scale of Universe [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a2b72acb-4aa0-4985-a77d-ce502fa4790e/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
52,Ideal Gases and Kinetic Theory of Gases [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0c7de8fc-31e3-48ca-bfd3-be49bcdef089/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
53,Internal Energy [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/999998f6-e4f0-40fb-aa42-db753231dd52/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
54,The First Law of Thermodynamics [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/97537ebf-c8d3-4f5e-87e1-ac6f3cf4bba4/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
55,Regasification of Liquified Natural Gas [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0a5eb827-86b8-4a08-83f8-22ddc53bdfd3/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
56,Waves [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6af5988c-0119-4b91-a408-905165bf5a0c/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
57,Speed of Waves [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e8d52499-bed9-46e5-aa65-cba051c26c0e/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
58,Intensity of a Wave [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f80e6c3e-3f3f-43f8-95f7-acdbe3e52850/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
59,Multiple-slit Diffraction (Lesson 3/3) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f7499ca4-6254-4429-83f5-fd1aafd35ea8/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
60,Two-source Interference (Lesson 2/3) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",30-Dec-22,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/7abb3512-6994-48bb-b07f-5a7c1d89a6a5/cover,Pre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
61,Diffraction (Lesson 1/3) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/816bbf86-9333-4594-9b33-4e9c930141ab/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
62,Polarisation [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6b86c494-a8ac-4119-b780-1d7bb1b4d2d1/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
63,X-ray Production [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e788b50c-6627-4ac1-8088-f31a68e98ff1/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
64,Types of Nuclear Radiation (Lesson 1/4) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ecd7f0ee-28ae-4c6c-81e0-be48f703f6c4/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
65,Conservation Laws in Nuclear Physics (Lesson 2/4) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a69befff-ed41-47ee-bf43-14d629feb05a/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
66,Radioactive decay (Lesson 3/4) [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/737975b8-370a-4fda-8668-6b0875f023df/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
67,Electrical Circuits [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/47ecb70c-be3f-4e77-a48d-7d8183eaa1a5/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
68,Chain Physics [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e8a58f46-2293-4e3e-b322-96396814895f/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
