S/N,Title,Address,Phone,Fax,Email
6,Artstratosphere Music School,"1124 Serangoon Road, 328208",6284 1092,6284 1094,manager@artstratosphere.com
7,Ascend Learning Centre,"Blk 508 Bishan Street 11 #01-390A (2nd Storey), 570508",6354 3391,6354 4697,leongannmay@gmail.com
8,Asia Music School (West Coast Branch),"154 West Coast Road #01-61 West Coast Plaza, 127371",6779 5065,6778 2367,asiamusic@live.cn
9,Aspen Learning Centre,"231A Victoria Street, 2nd Storey Bugis Village, 188025",6883 2338,,mayyin@aspen.com.sg
10,Aspire Hub Education Academy,"(Main) 23 Serangoon Central #04-79 Nex, 556083",6634 2412,6634 2414,enquiries@aspirehub.com
11,Aspire Hub Education School [fka Aspire Hub Learning Centre],"(Main) Blk 122 Bukit Merah Lane 1 #01-54/56/58, 150122",6377 7315,6272 2538,info@aspirehub.com
12,Aspire Hub Education School [fka Aspire Hub Learning Centre],"144 Upper Bukit Timah Road #03-06A Beauty World Centre, 588177",6377 7319,,info@aspirehub.com
13,Aspire Hub Education School [fka Aspire Hub Learning Centre],"Blk 482 Jurong West Street 41 #01-258, 640482",6377 7319,,info@aspirehub.com
14,Asta School of Business & Technology [fka Growth Language Centre],"Blk 131 Jurong Gateway Road #04-265, 600131",6567 0123,6561 0024,admin@astaschool.edu.sg
15,Axcell Tuition Centre,"Blk 171 Stirling Road #01-1113, 140171",6475 6513,,axcell.edu@gmail.com
16,Axcell Tuition Centre (Jurong East),"Blk 237 Jurong East Street 21 #01-400, 600237",6425 5284,,axcell.jurongeast.edu@gmail.com
17,AZKEN Learning Center,"Blk 163 Ang Mo Kio Avenue 4 #01-430, 560163",6452 0747,,enquiries@azken.com.sg
18,Banyan Tree Education Centre,"Blk 111 Jalan Bukit Merah #01-1674/76, 160111",6276 8817,,bojun0417@hotmail.com
19,Beacon Plus Education Centre,"70 Martaban Road, 328667",6338 5595,6884 4895,lee@beacon.edu.sg
20,Bedok Central Learning Centre,"Blk 203 Bedok North Street 1 #01-459 (2nd Storey), 460203",6448 9133,6448 9133,lawtsang@singnet.com.sg
1,Beijing Language School,"(Main) Blk 118 Rivervale Drive #02-21/22 Rivervale Plaza, 540118",6315 9719,,beijinglanguage@yahoo.com.sg
2,Beijing Language School,"1 Pasir Ris Central Street 3 #05-04, 518457",6582 0949,,beijinglanguage@yahoo.com.sg
3,Beijing Language School,"Blk 477 Tampines Street 43 #01-176, 520477",6587 0752,,beijinglanguage@yahoo.com.sg
4,Beijing Language School,"2 Sengkang Square #01-04, 545025",6315 9719,,beijinglanguage@yahoo.com.sg
5,Beijing Language School,"1 Jurong West Central 2 #01-17A Jurong Point, 648886",6904 9934,6587 0751,beijinglanguage@yahoo.com.sg
6,Beijing Language School,"Blk 168 Punggol Field #04-08B Punggol Plaza, 820168",6315 8405,,beijinglanguage@yahoo.com.sg
7,Beijing Language School,"83 Punggol Central #02-01 Watertown, 828761",6315 8406,,beijinglanguage@yahoo.com.sg
8,Berlitz Language Centre,"391B Orchard Road #16-01/02 Tower B Ngee Ann City, 238874",6733 7472,6733 7805,study@berlitz.com.sg
9,Berries World of Learning School (BB),"21 Bukit Batok Central #02-02 Bukit Batok Community Club, 659959",6562 2232,6565 9768,berriesbb@berriesworld.com
10,Berries World of Learning School (BJ),"Blk 134 Jurong Gateway Road #03-309R, 600134",6897 2232,6466 0005,berriesbj@berriesworld.com
11,Berries World of Learning School (CW),"154 West Coast Road #B1-19A West Coast Plaza, 127371",6775 8990,6773 6393,berriescw@berriesworld.com
12,Berries World of Learning School (CW612),"Blk 612 Clementi West Street 1 #01-296/298, 120612",6250 9183,6250 9539,berriescw612@berriesworld.com
13,Berries World of Learning School (DBY),"293 Lorong 6 Toa Payoh #02-04 SAFRA Clubhouse, 319387",6252 2110,6252 4300,berriesdby@berriesworld.com
14,Berries World of Learning School (International) [fka Children's Language School],"Blk 308 River Valley Road #01-02/03/04, 238349",6735 9528,6735 8257,berriesintl@berriesworld.com
15,Berries World of Learning School (JKB),"750 Chai Chee Road #01-09/10 ESR BizPark @ Chai Chee, 469000",6243 5525,,berriesjkb@berriesworld.com
16,Berries World of Learning School (JT11),"Blk 507 Bishan Street 11 #01-392/394/396 (2nd Storey), 570507",6254 8225,6451 3774,berriesjt11@berriesworld.com
17,Berries World of Learning School (JT23),"Blk 221 Bishan Street 23 #B1-183, 570221",6254 8225,,berriesjt23@berriesworld.com
18,Berries World of Learning School (KB),"5 Lengkong Tiga #02-01 Kampong Kembangan Community Club, 417408",6243 5822,6243 6169,kembangancc@berriesworld.com
19,Berries World of Learning School (KVP),"19/19A Simon Road, 545904",6280 2600,,berrieskvp@berriesworld.com
20,Berries World of Learning School (MB),"231 Mountbatten Road #03-07/08 Mountbatten Centre, Block A, 397999",6247 7276,6247 7800,berriesmb@berriesworld.com
1,Berries World of Learning School (SK),"988 Upper Serangoon Road #01-31/32 Stars of Kovan, 534733",6970 5920,,berriessk@berriesworld.com
2,Berries World of Learning School (TAS),"101 Cantonment Road #01-03 Tanjong Pagar Community Club, 089774",6220 0078,6220 0755,berriestas@berriesworld.com
3,Berries World of Learning School (TCC),"Blk 3 Queen's Road #02-149 & #02-157, 260003",6256 2070,6473 4663,berriestcc@berriesworld.com
4,Berries World of Learning School (Thomson),"Blk 116 Bishan Street 12 #01-26, 570116",6554 1729,6325 7450,berriesthomson@berriesworld.com
5,Berries World of Learning School (TPCL),"2 Tampines Central 6 #05-01/02 NTUC Income Tampines Point, 529483",6782 8878,6789 8878,berriestpcl@berriesworld.com
6,Berries World of Learning School (Tpn) [fka Children's Language School (Tampines)],"1 Pasir Ris Close #03-111 E!Hub@Downtown East, 519599",6783 0873,6384 6224,berriestpn@berriesworld.com
7,Berries World of Learning School (WDL),"18 Yishun Avenue 9 #01-78/79 & #01-82 Junction Nine, 768897",6363 1231,,berrieswdl@berriesworld.com
8,Berries World of Learning School (WG),"Blk 991 Buangkok Link #03-01/02/06, 530991",6570 3454,,berrieswg@berriesworld.com
9,Best Physics Tuition Centre,"(Main) Blk 261 Waterloo Street #02-20 Waterloo Centre, 180261",8700 9189,,sgphysicscoach@gmail.com
10,Best Physics Tuition Centre,"170 Upper Bukit Timah Road #B1-32 Bukit Timah Shopping Centre, 588179",6685 4359,,sgphysicscoach@gmail.com
11,Bibinogs Kids Academy,"10 Jalan Serene #02-05/06 Serene Centre, 258748",6466 8015,,playlearning@bibinogs.com
12,BlackBox Learning Centre (Thomson),"10 Jalan Gelenggang Sembawang Hills Estate, 578191",6455 1665,,bbox@pacific.net.sg
13,Blessed Kidz Learning Hub,"180 Kitchener Road #07-06 City Square Mall, 208539",6634 5618,,blessedkidzlearning@gmail.com
14,Bloom School of Music and Arts,"Blk 528 Ang Mo Kio Avenue 10 #02-2387, 560528",6756 0901,6275 5113,rrmusic@live.com.sg
15,Blooms Academy,"116 Middle Road #05-02 ICB Enterprise House, 188972",9711 7363,,angjeffrey@gmail.com
16,Boston-kidz Tuition Centre,"Blk 232 Ang Mo Kio Avenue 3 #01-1212, 560232",9388 8861,,contact@boston-kidz.com
17,Braingainz Learning Centre,"1 Goldhill Plaza #03-17, 308899",9489 7842,,braingainzlc@gmail.com
18,Brainmeta Educational Centre,"Blk 450G Tampines Street 42 #01-382, 527450",9299 9313,,Koli_ernie@yahoo.com
19,Brainy Child Montessori Learning Centre,"150 Orchard Road #05-38/43 Orchard Plaza, 238841",6733 7669,,enquiry@brainychild.sg
20,Bright Culture Tuition Centre,"183B Thomson Road Goldhill Shopping Centre, 307628",9187 0820,,admin@bright-culture.com
1,BrightMinds Learning Centre,"Blk 605 Woodlands Drive 42 #01-105, 730605",6363 0180,,brightmindscentre@gmail.com
2,Brilliant Educational School,"Blk 838 Jurong West Street 81 #B1-153, 640838",6794 1529,6794 1527,yanzhens@singnet.com.sg
3,Brilliant Minds Learning Centre,"845 Geylang Road #04-05 Tanjong Katong Complex, 400845",6742 1595,6749 5855,
4,Bubbles Learning House @ Yishun,"Blk 239 Yishun Ring Road #01-1158 (2nd Storey), 760239",6493 7326,,bubbleslearninghouse@gmail.com
5,Buddy Planet Education Centre,"Blk 414 Yishun Ring Road #01-1867, 760414",9878 2588,,lynnshalom@yahoo.com.sg
6,Bukit Timah Music School,"Blk 45 Holland Drive #01-357 (2nd Storey), 270045",6316 9200,,btmusic.sg@gmail.com
7,Bumblebee Language Centre,"50 East Coast Road #02-139/140 Roxy Square, 428769",6346 5211,,enquiry@bumblebchinese.com
8,Bunka Language Private School,"402 Orchard Road #05-15/16 Delfi Orchard, 238876",6737 3601,,bunka@bunkalang.com
9,Busy Bees Learning Centre,"(Main) 4 Hillview Rise #01-14/15/16 & #02-12 HillV2, 667979",6877 2919,,bblc388@gmail.com
10,Busy Bees Learning Centre,"271 Bukit Timah Road #02-18/19 Balmoral Plaza, 259708",6877 2919  / 6733 2939,6877 2918  / 6733 2522,bblc388@gmail.com
11,Busy Bees Learning Centre,"6 Sin Ming Road #01-03 Sin Ming Plaza Tower 2, 575585",6877 2919  / 6458 1191,6877 2918  / 6458 1191,bblc388@gmail.com
12,Byron Tutorial Centre,"190 Clemenceau Avenue #03-14/15 Singapore Shopping Centre, 239924",6337 5878,,byron.hsp@gmail.com
13,C Win Learning Centre,"(Main) Blk 524A Jelapang Road #03-10, 671524",6762 2287,,
14,Camden Education Center,"170 Upper Bukit Timah Road #B1-27 Bukit Timah Shopping Centre, 588179",6468 6835,6792 1258,sc23jul@singnet.com.sg
15,Camelot Learning Centre,"221 East Coast Road, 428918",8488 0221,,camelotlearningcentre@gmail.com
16,Camford Educational Centre,"Blk 517 Serangoon North Avenue 4 #B1-228, 550517",6481 6500,6482 4156,camfordeducationcentre@yahoo.com.sg
17,Casco Enrichment Centre,"(Main) Blk 101 Towner Road #01-214, 322101",6392 1262,6295 1017,admin@cascotuition.com
18,Casco Enrichment Centre,"Blk 452 Pasir Ris Drive 6 #B1-232, 510452",6583 0029,6583 0049,admin@cascotuition.com
19,Cedan Child Development Centre,"Blk 198 Punggol Field #02-02, 820198",6387 6648,6387 6648,cedancdc@hotmail.com
20,"Centre 4 Learning@Proverbs1,5","Blk 683 Hougang Avenue 8 #01-923 (2nd Storey), 530683",9667 8554,,enquiry@proverbs-1-5.com
1,Centre Stage School of the Arts [fka Centre Stage Arts School],"(Main) 15 Woking Road #01-01/02, 138694",6732 7211,,info@centre-stage.com
2,Centre Stage School of the Arts [fka Centre Stage Arts School},"5000G Marine Parade Road #01-32 Laguna Park, 449290",6449 6211,,east@centre-stage.com
3,Champions Learning Hub,"Blk 158 Mei Ling Street #01-84, 140158",8112 0270,,championslearning@gmail.com
4,Chapter One Learning Centre,"1 Marine Parade Central #03-02 Parkway Centre, 449408",6348 7889,6348 7889,willyliu@lifejourniz.com
5,Chemistry Guru Academy,"Blk 112 Bishan Street 12 #01-20, 570112",9858 8060,,chemguru.sg@gmail.com
6,Chengzhu Mandarin Education Centre,"35 Rochester Drive #03-01/02/03/04/05/27 The Rochester, 138639",6737 5348,6836 5083,enquiries@chengzhu.net
7,Clarity Learning Centre,"266 Upper Bukit Timah Road #02-08, 588209",6743 8312,,gracelosy@gmail.com
8,Claymore Learning Centre [fka FIS Learning Centre],"8 Claymore Hill #02-02 & #03-01, 229572",6842 6001,,David.mok@fis.edu.sg
9,Clementi Ave 2 Learning Centre,"Blk 354 Clementi Avenue 2 #01-205, 120354",6777 0322,6294 2723,listings@singnet.com.sg
10,Cleverland Tutorial Centre,"Blk 201E Tampines Street 23 #04-106, 527201",6787 0562,6787 1363,admin@cleverland.com.sg
11,CMA Mental Arithmetic Centre (AMK),"Blk 709 Ang Mo Kio Avenue 8 #01-2587 (2nd Storey), 560709",6456 7020,6353 7841,amk@cma.edu.sg
12,CMA Mental Arithmetic Centre (Bedok),"Blk 210 New Upper Changi Road #01-731 (2nd Storey), 460210",6744 8077,,lim.gekpeng@yahoo.com.sg
13,CMA Mental Arithmetic Centre (Bishan),"Blk 255 Bishan Street 22 #B1-462, 570255",6556 0620,6353 7841,blessed_olive@yahoo.com.sg
14,CMA Mental Arithmetic Centre (Bukit Panjang),"Blk 524A Jelapang Road #03-05 Greenridge Shopping Centre, 671524",6891 1040,,bukitpanjang@cma.edu.sg
15,CMA Mental Arithmetic Centre (Canberra),"Blk 133 Canberra View #03-13, 750133",6970 4876,6970 4875,canberra@cma.edu.sg
16,CMA Mental Arithmetic Centre (Farrer Park),"180 Kitchener Road #07-10 City Square Mall, 208539",6509 6206,6509 5011,farrerpark@cma.edu.sg
17,CMA Mental Arithmetic Centre (Holland),"2 Pandan Valley #01-203 Acacia Court, 597626",6466 4418,6466 4418,holland@cma.edu.sg
18,CMA Mental Arithmetic Centre (Jurong East Central),"Blk 134 Jurong East Street 13 #03-307J, 600134",6897 0083,6897 0083,my4lambs@gmail.com
19,CMA Mental Arithmetic Centre (Jurong West Central),"Blk 526 Jurong West Street 52 #01-321, 640526",6268 6693,6268 6717,jurongwest@cma.edu.sg
20,CMA Mental Arithmetic Centre (Kovan),"Blk 203 Hougang Street 21 #03-57, 530203",6284 0047,6284 0047,kovan@cma-sg.com
1,CMA Mental Arithmetic Centre (Marine Parade),"1 Marine Parade Central #02-07 Parkway Centre, 449408",6345 2270,6345 2270,
2,CMA Mental Arithmetic Centre (Novena),"157B Thomson Road Goldhill Shopping Centre, 307610",6352 2552,6353 7841,novena@cma.edu.sg
3,CMA Mental Arithmetic Centre (Pasir Ris),"Blk 735 Pasir Ris Street 72 #02-340 Pasir Ris West Plaza, 510735",6100 4262,,pasirris@cma.edu.sg
4,CMA Mental Arithmetic Centre (Punggol),"Blk 168 Punggol Field #04-05 Punggol Plaza, 820168",6100 2262,,punggol@cma.edu.sg
5,CMA Mental Arithmetic Centre (Queenstown),"Blk 82 Strathmore Avenue #01-148, 141082",6471 2344,6471 2342,queenstown@cma.edu.sg
6,CMA Mental Arithmetic Centre (Sengkang),"Blk 297A Compassvale Street #01-38, 541297",6100 3262,,sengkang@cma.edu.sg
7,CMA Mental Arithmetic Centre (Tampines),"Blk 201E Tampines Street 23 #02-98, 527201",6783 8471,,tampines@cma.edu.sg
8,CMA Mental Arithmetic Centre (Tiong Bahru),"12 Kim Tian Road, 169249",6272 1589,,tiongbahru@cma.edu.sg
9,CMA Mental Arithmetic Centre (Toa Payoh),"Blk 83 Lorong 2 Toa Payoh #01-443, 310083",6959 5492,,toapayoh@cma.edu.sg
10,CMA Mental Arithmetic Centre (West Coast),"Blk 603 Clementi West Street 1 #01-39, 120603",6776 7609,,westcoast@cma.edu.sg
11,CMA Mental Arithmetic Centre (Yishun),"Blk 102 Yishun Avenue 5 #03-107, 760102",6257 0028,6257 3048,yishun@cma.edu.sg
12,Codetta Music School,"1 Hougang Street 91 #01-44 Hougang 1, 538692",6214 3438,,83250967@qq.com
13,Cognitive Development Learning Centre,"Blk 130 Jurong Gateway Road #04-201, 600130",6635 8104  / 6564 6533,,chia@cognitive.com.sg
14,Cognitus Academy,"1 Goldhill Plaza #03-05 Podium Block, 308899",8321 8252,,cognitus.acad@gmail.com
15,Complete Tuition Centre,"Blk 443 Pasir Ris Drive 6 #02-04, 510443",6582 0983,,
16,Complete Tuition Centre (Branch),"Blk 453 Pasir Ris Drive 6 #B1-222, 510453",6581 6119,,
17,Concept First Learning Centre,"Blk 449 Clementi Avenue 3 #01-261 (2nd Storey), 120449",8246 5685,,admin@conceptfirst.com.sg
18,Concept Math Education Centre,"1 Goldhill Plaza #03-01, 308899",6255 6335,,admin@conceptmath.com
19,Conceptual Maths Modelling Tuition Centre,"Blk 8 Lorong 7 Toa Payoh #01-303, 310008",6886 0862,,cmmtc@singnet.com.sg
20,Confident Learners Education Centre,"Blk 186 Toa Payoh Central #01-430 (2nd Storey), 310186",9734 1755,,ConfidentLeaners@outlook.com
1,Contempo Music School,"c/o 68 Orchard Road #06-23 Plaza Singapura, 238839",6336 6922,6338 6772,
2,Cordova Education Centre,"Blk 473 Pasir Ris Drive 6 #B1-498, 510473",6582 2127,6582 6757,info@cordova.com.sg
3,Coronation Music School,"587 Bukit Timah Road #03-10 Coronation Shopping Plaza, 269707",6467 3883,,benghweetay@gmail.com
4,CP Music Centre [fka Classical & Popular Music Centre],"Blk 306A Woodlands Street 31 #04-09, 731306",6363 6766,6368 9388,cpmusic@cpmusic.com.sg
5,Creative Campus: Learning with Latitude,"545 Orchard Road #14-07/08 Far East Shopping Centre, 238882",6455 3063,6250 5364,chalk@creativecampus.com.sg
6,Creative Star Education Centre,"5 Ang Mo Kio Central 2 #03-03 Djitsun Mall, 569663",6451 0778,,liujieer@gmail.com
7,Crestar School of Dance,"Blk 135 Jurong Gateway Road #03-341, 600135",6560 9997,,evelyn.ng@crestar.com.sg
8,Cristofori Music School,"Blk 132 Bukit Batok West Avenue 6 #01-314, 650132",6899 6748,,cmmusic@pacific.net.sg
9,Cristofori Music School (Jurong East),"Blk 135 Jurong East Street 13 #04-321/323/325, 600135",6561 4130,,cmsadmin@a2gmusic.com.sg
10,Cristofori Music School (Jurong West),"Blk 504 Jurong West Street 51 #04-217/219, 640504",6564 7422,,cmsadmin@a2gmusic.com.sg
11,Cristofori Music School (Teck Whye),"Blk 140 Teck Whye Lane #02-363/365, 680140",6762 4502,6762 4355,cmsadmin@a2gmusic.com.sg
12,Cristofori Music School (Woodlands),"Blk 548 Woodlands Drive 44 #02-16/17/18/19 Vista Point, 730548",6893 4538,6891 0205,cmsadmin@a2gmusic.com.sg
13,Crucible Education Centre,"245 Whitley Road #01-11 Tanglin Community Centre, 297829",9049 3400,,joel@crucible.com.sg
14,Crystal Learning Centre,"20 Kramat Lane #05-05/06/07 United House, 228773",6222 0583,6220 0582,han@crystal.com.sg
15,Curious Kids' Learning Place [fka The Knowledge Bud Learning Place],"33 Jalan Mas Puteh, 128634",6777 7040,,theknowledgebud@gmail.com
16,Curtis Music School,"559 Bukit Timah Road #02-02A King's Arcade, 269695",6465 4998,6465 4998,
17,D A V Hindi School,"113 Syed Alwi Road, 207681",6392 2492,6296 8573,info@davhindischool.org
18,D'Learning Grove Education Centre,"Blk 3 Queen's Road #02-153, 260003",9369 5603,,dlearninggrove@gmail.com
19,D'Perfect Educational Centre,"Blk 747 Woodlands Circle #01-708, 730747",6363 1911,,wd.dperfect@gmail.com
20,Dae Han Education Centre,"101A Upper Cross Street #13-13 People's Park Centre, 058358",6535 7837,6535 0382,hannahsing@hannahpress.net
1,Dance Arts Studio,"c/o 109 North Bridge Road #05-39 Funan Digitalife Mall, 179097",6235 4218,,
2,Dandelion School of Music,"1 Brooke Road #B1-02 Katong Plaza, 429979",6440 5010,,info_music@dandelion.sg
3,Discovery Edu Cove,"Blk 801 Tampines Avenue 4 #01-275 (2nd Storey), 520801",6650 0646,,discoveryeducove@gmail.com
4,Distinct Learning Centre,"Blk 107 Serangoon North Avenue 1 #01-681, 550107",6280 0251,6280 0251,distinctsc@gmail.com
5,Dowell Tuition Centre,"Blk 151A Serangoon North Avenue 2 #02-85, 551151",6383 2191,6383 2191,ask.dowell@gmail.com
6,Dr Ng's Science Studio,"Blk 18 Lorong 7 Toa Payoh #01-242, 310018",9645 5108,,dnsciencestudio@gmail.com
7,E & P Training Centre (Orchard) [fka E & P Training Centre (Tampines)],"402 Orchard Road #04-07 to #04-13 Delfi Orchard, 238876",6737 2588,6734 4988,
8,E3 Enrichment Centre,"144 Upper Bukit Timah Road #02-21 Beauty World Centre, 588177",9116 0387,,jitkiong@gmail.com
9,Eager Kids Montessori,"Blk 247  Hougang Avenue 3 #01-454, 530247",6288 0224,,Anjum.husain@gmail.com
10,Early Years Montessori,"16 Sunset Drive, 597475",6469 1572,6469 1087,early_years@pacific.net.sg
11,Easternserve Tuition Centre (Simei),"Blk 256 Simei Street 1 #01-517, 520256",6788 5103,6292 3707,easternserve@singnet.com.sg
12,EC Learning Education Centre,"170 Upper Bukit Timah Road #B2-01B Bukit Timah Shopping Centre, 588179",6970 2008,,eclearningedu@gmail.com
13,Economics Cafe Learning Centre,"Blk 505B Bishan Street 11 #01-422, 572505",9402 3981,,edmundquek@economicscafe.com.sg
14,Econsactually Learning Centre,"Blk 72 Lorong 5 Toa Payoh #01-578, 310072",9337 3874,,clive.foo@econsactually.com
15,EconsLab Tuition Centre,"420 North Bridge Road #04-30 North Bridge Centre, 188727",9723 5149,,econslab@gmail.com
16,Ecube Science and Math Lab [fka Ecube Education Lab],"1 Marine Parade Central #04-07 Parkway Centre, 449408",6342 1002,,ecube.edulab@gmail.com
17,Edubuilder Learning Hub,"16 Jalan Masjid #01-03 Kembangan Suites, 418941",6760 6174,,indrianaseet@gmail.com
18,Education Renaissance Tutorial Centre,"Blk 519 Jurong West Street 52 #01-171, 640519",6565 9807,,erenquiries@gmail.com
19,EduEdge Learning Hub,"Blk 301 Serangoon Avenue 2 #01-330, 550301",6288 8741,,admin@eduedge.com.sg
20,Edufirst Learning Centre,"1 Northpoint Drive #02-164 Northpoint City, 768019",6565 2466,,may@edufirst.com.sg
1,EduGrove Mandarin Enrichment Centre,"(Main) 120 Pasir Ris Central #01-01/02, 519640",6584 8489,,enquiries@edugrove.com.sg
2,Edulink Learning Centre (Bishan),"Blk 116 Bishan Street 12 #02-32 Bishan View, 570116",6250 6628,6250 6628,wsleileen@yahoo.com.sg
3,Edumania Learning Centre,"Blk 378 Clementi Avenue 5 #01-336, 120378",6909 0733,,edumania.learning@gmail.com
4,Edumore Learning Centre,"Blk 511 Canberra Road #02-02 Sembawang Mart, 750511",6555 1310,6415 1221,admin@edumore.edu.sg
5,Eduplus Language Centre (Sin Ming),"9 Sin Ming Road #02-01 & #B1-01/02/05 Thomson V One, 575630",6463 0017,6463 1185,eduplus@singnet.com.sg
6,Eduwise Language School,"(Main) Blk 744 Bedok Reservoir Road #01-3053, 470744",6243 4757,,eduwiselanguage@gmail.com
7,EDvolution Learning Studio,"557 Bukit Timah Road #02-09 Crown Centre, 269694",6908 1656,,expressyourwords@gmail.com
