number,subjectName,Owner Group,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status,Follow-up action
59,Science,Sec_Sci,Effects of Acids and Alkalis on Indicators [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/298825d3-4402-4fa2-8829-b3b5cbc37af8,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
60,Science,Sec_Sci,Energy and Work Done [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2b320407-964d-44a0-a98a-f404fe5ebdc3,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
61,Science,Sec_Sci,Chemical Formulae [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/349d433a-f919-4f41-a351-f3417c54af6c,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
62,Science,Sec_Sci,Solving Problems About Speed [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/365a6672-af11-4cc3-9384-c1ba1c1c5cbd,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
63,Science,Sec_Sci,Plastic and Us [LSS E/N(A)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3c417fa5-3466-4dc8-9edf-368fa9d49d2f,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
64,Science,Sec_Sci,Transport in Plants [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3f09c53f-a406-4743-b6fb-64849d97c62d,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
65,Science,Sec_Sci,Human Digestive System [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/438c319a-1118-4543-9887-5e0c6dd91817,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
66,Science,Sec_Sci,Energy Flow via Photosynthesis and Respiration [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4859c1f2-689c-4aa7-9d7a-5872db5311d4,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
67,Science,Sec_Sci,Measurement [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4cfdefcf-6599-4f33-bb72-33d3f76b0acb,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
68,Science,Sec_Sci,Is It Physical or Chemical? [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5152c365-7211-41d7-b191-2bc22e11e1fa,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
69,Science,Sec_Sci,Sound [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/533c5203-ad1a-41ae-8efe-cb07f5fbc136,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
70,Science,Sec_Sci,Reactions of Acids [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5676fa5e-d28e-49ac-9b24-28b5444d101a,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
71,Science,Sec_Sci,Facilitated Reproduction [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5a01a0f8-24a0-4a3a-8d13-52f4290dc3ee,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
72,Science,Sec_Sci,Birth Control [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5b98700e-fc8e-4310-a4d1-9905bb4b4cee,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
73,Science,Sec_Sci,Sexually Transmitted Infections [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5c46fbb7-b43c-4aa9-86c8-62018c9cbef3,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
74,Science,Sec_Sci,Menstrual Cycle [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5ea4cf39-8c4e-41aa-95eb-f3a71eb84b30,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
75,Science,Sec_Sci,Reflection of Light [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6d9d63c4-7f9b-49dc-bf53-f159b43ae169,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
76,Science,Sec_Sci,How Do We Classify Things?  [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/74862749-2d74-4d55-b626-36c76d9bde52,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
77,Science,Sec_Sci,Solubility and Dissolving [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/78b32260-0180-468d-a033-a53b33c50052,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
78,Science,Sec_Sci,Sources of Energy [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/78bf3fb1-2589-4da6-a15e-5dea78b5e733,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
79,Science,Sec_Sci,Extinction – Should We Be Concerned? [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/7d9853fe-077c-44e0-87f9-0d073bc0ad9c,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
80,Science,Sec_Sci,Effects of an Electric Current [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/89a65697-3a10-4455-98a1-8c782ca596de,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
81,Science,Sec_Sci,Practicing Sustainable Living [LSS (Exp)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8f18ebaf-c2a8-48ef-a55c-740ddfd7a440,LOWER SEC SCIENCE (EXP) (2013),Science,Secondary 1 Express - Secondary 2 Express,12/31/2021,APPROVED,To delete as lesson is from old content maps
82,Science,Sec_Sci,Human Sexual Reproductive System [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9048b498-3ef0-4174-a1d7-a9709dd2db1b,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
83,Science,Sec_Sci,Is It Safe to Eat? [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/921a5348-7f58-450f-8c16-810971811f18,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
84,Science,Sec_Sci,Ray Model of Light - Refraction of Light [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/94f0a0cd-1244-45d8-ac74-b96f7e7f1015,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
85,Science,Sec_Sci,Saving electricity [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9a4577cc-1906-48a9-83d7-99021d481e75,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
86,Science,Sec_Sci,Transmission of heat by radiation [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9dc18e92-b48b-4bc2-b14f-0b1a82caac19,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
87,Science,Sec_Sci,Force and its Effects [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9dcc4bb6-4225-4526-a62c-309a724efdfa,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
88,Science,Sec_Sci,Power and the Cost of Electricity [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a38543dc-d99e-4cb2-997a-f8f1df8b106f,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
89,Science,Sec_Sci,Ray Model of Light [LSS (E/NA) ],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a80241f5-9ddd-4348-a90e-f4665bb59261,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
90,Science,Sec_Sci,Electrical Systems - Resistance [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ab587d5e-22d4-4619-9483-2a77a6a2809a,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
91,Science,Sec_Sci,Do You Have a Solution? [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b1191c58-100f-4d17-b41c-c524a014f921,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
92,Science,Sec_Sci,Mass versus Weight [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b4df5186-fa74-4aa9-88d8-2e075868c513,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
93,Science,Sec_Sci,Effects of Heat [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c6e2b03d-6101-429a-a9b3-a72917b9d915,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
94,Science,Sec_Sci,Growing World Population [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c8d8ec46-e8fe-425d-ac54-54994e34b76b,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
95,Science,Sec_Sci,Biodiversity and Use of Classification Keys [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c908a86a-2001-425c-aa34-587f03ee3536,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
96,Science,Sec_Sci,Effects of Bacteria [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c90e2057-ef9b-46f9-89bc-c2271eb51d65,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
97,Science,Sec_Sci,States of Matter [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/cd6fc30b-3be4-40d2-8436-e2157444400a,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
98,Science,Sec_Sci,Not All Scientific Studies are Created Equal [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d112b024-4dc2-413e-aa84-aafe48805252,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
99,Science,Sec_Sci,Science is a Human Endeavour [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d3ff97bc-2961-442e-a0cd-8dbca1c49898,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
100,Science,Sec_Sci,Transfer of Thermal Energy - Convection [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/dae42482-729e-44e8-8d75-6b278e443c71,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
101,Science,Sec_Sci,Parasitism and Mutualism [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/dc2c29a4-c77d-4836-80cb-3c447adbeece,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
102,Science,Sec_Sci,Setting Up Electric Circuits [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/dd5df27b-19cb-4e7e-b782-4fd573b3e42e,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
103,Science,Sec_Sci,Separation of Mixtures - Obtaining Drinking Water [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e12a1c62-87ea-49f8-9bb6-bb8920a44bb5,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
104,Science,Sec_Sci,Cell as the Basic Unit of Life [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e8890619-f788-4910-a276-aef97037e155,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
105,Science,Sec_Sci,Human Circulatory System [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ecdcbc1c-803d-42a6-88c4-c51914bcebb4,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
106,Science,Sec_Sci,How Do We Vary the Output of a Circuit? [LSS Exp],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ef082732-5552-4cd3-9559-47822699dab2,LOWER SEC SCIENCE (EXP) (2013),Science,Secondary 1 Express - Secondary 2 Express,12/31/2021,APPROVED,#N/A
107,Science,Sec_Sci,Elements [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f3157589-7912-4206-b721-294eeef12f90,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
108,Science,Sec_Sci,The Roles and Actions of Decomposers [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f3efe600-71a2-4f94-ae68-df5e2e56218a,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
109,Science,Sec_Sci,Model of an atom [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f5eb3850-ed14-4b9f-9125-884638c3f790,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
110,Science,Sec_Sci,Compounds and Mixtures [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f6176e56-a335-4860-b739-9e01296cb332,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
111,Science,Sec_Sci,Pressure [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f99e79ef-7986-498e-b514-04ab16a79f61,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
112,Science,Sec_Sci,Destructive Forces in Nature [LSS],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fdcc457e-84c9-4f1c-b7a5-513cd1678fee,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,#N/A
113,Science,Sec_Sci,How does temperature and pH affects enzyme action?,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/46ad4e55-d206-4be6-b8d9-e70b29bf2d14,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),12/31/2024,DRAFT,
114,Science,Sec_Sci,How do we improve our food production?,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/51e85f40-5254-4fc6-a902-a8ed2680bdc2,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),12/31/2024,DRAFT,
