[1, 'Listening & Viewing']
[43, 'Voice Against the Void']
[44, 'Voices at Play: Strategy Toolkits']
[45, 'Right on Target']
[46, 'Know Your Role']
[47, 'App Review']
[48, 'Discussion Strategies']
[49, 'Recognise features of spoken language']
[50, 'Recognise that varying one’s language structure can be understood in different ways and convey different meanings']
[51, 'Recognise and use appropriate prosodic features for expression and fluency']
[52, 'Identify and set goals for the purpose of speaking and representing according to situations which may be personal, academic, creative and imagined taking into account the increasing complexity of tasks and contexts']
[53, 'Draw on prior knowledge, including that of: subject matter; rules of engagement with listeners; text organisational structures; text organisational patterns']
[54, 'Develop and organise ideas for speaking and representing']
[55, 'Participate respectfully in discussion']
[56, 'Speak and represent clearly and appropriately according to social conventions for specific purposes, audiences, contexts and cultures when: introducing self/others; making different types of requests; expressing appreciation and gratitude; stating opinions and thoughts; performing a specific job function']
[57, 'Speak and represent to achieve cohesion through: using vocabulary and using grammar']
[58, 'Speak and represent with cohesion and coherence by combining different semiotic modes']
[59, 'Speak and represent with confidence using different semiotic modes appropriately to fulfil various purposes']
[60, 'Self-adjust planned speech by reviewing intended: purposes of speech, audience, content of speech and organisation and flow of speech']
[61, 'Monitor self and others in order to correct mispronounced words, and adjust inappropriate use of prosodic features']
[62, 'Revise speech immediately after speaking to adjust and improve communication based on response/feedback from listener(s) through: repetition; clarification; elaboration; confirmation']
[63, 'Speak and represent with clarity and fluency by: using appropriate features of spoken language and using appropriate prosodic features']
[64, 'Develop and use clear and accurate pronunciation']
[65, 'Recognise and apply word stress patterns accurately']
[66, 'Demonstrate how meaning is conveyed with expression and fluency using a combination of semiotic modes']
[67, 'Generate ideas and details appropriate to purpose, audience, context and culture']
[68, "Gather information and ideas from a variety of print, non-print and digital networked sources according to speaker's purpose, needs of the audience, context and culture"]
[69, "Select and evaluate information and ideas from a variety of print, non-print, and digital networked sources according to speaker's purpose, needs of the audience, context and culture"]
[70, 'Consider how various semiotic modes work together to convey the intended message']
[71, 'Develop, articulate and represent ideas through speaking and representing in the moment according to the response of listener(s)']
[72, 'Speak to enhance meaning through appropriate choice of words and phrases by using: literary language; varied vocabulary; specific vocabulary; emotive language and emphasis']
[73, 'Speak to engage the listener(s) by: anticipating the reaction of the listener(s) and responding to it respectfully; responding appropriately with empathy to questions and feedback; elaborating on points through the use of details, anecdotes, concrete examples,experiences and feelings']
[74, 'Speak and represent to achieve coherence through: elaborating on points by varied means; maintaining focus through the use of themes and topics; using a logical structure; positioning appropriately new and given information']
[75, 'Monitor and adjust spoken discourse/presentations responsibly for effective delivery']
[76, 'Modify content of speech to ensure message is accurate and clear']
[77, 'Revise speech upon further reflection after speaking to adjust and improve communication based on response/feedback from listener(s) considering: coherence; cohesion; semiotic features']
[78, 'Develop, articulate and represent ideas through speaking and representing in the moment according to the response of listener(s) in the course of discussions, conversations, role-play, and debates']
[79, 'Reading & Viewing']
[80, 'Words for Impact!']
[81, 'Read and Respond!']
[82, 'Read like a Detective']
[83, 'All Action Comprehension']
[84, 'Reading Up']
[85, 'Research Brick by Brick']
[86, 'Sailing the Seas of Critical Literacy']
[87, 'Voices at Play: Strategy Toolkits']
[88, 'Take Your Pick!']
[89, 'Into the Deep']
[90, 'App Review']
[91, 'Determine main ideas and supporting details']
[92, 'Sequence details and/or events']
[93, 'Categorise and classify given details']
[94, 'Make inferences to draw conclusions']
[95, 'Identify the purpose and audience of texts read and/or viewed']
[96, 'Interpret a text from various points of view']
[97, 'Analyse organisational patterns in a text']
[98, 'Justify personal responses with descriptions, reasons and evidence']
[99, 'Evaluate given information, recommendation or line of thought based on: reasons and evidence; credibility and accuracy of ideas']
[100, 'Recognise how writers use different semiotic modes to achieve a variety of purposes']
[101, 'Apply metacognitive strategies to actively regulate reading and viewing']
[102, 'Read and view a variety of texts, including multimodal and hybrid texts of suitable complexity and length, on a diverse range of real world and contemporary themes/topics for different purposes']
[103, 'Ask questions at different levels about the text read and/or viewed']
[104, "Demonstrate awareness of how a writer's style can enhance the effectiveness of a text to achieve impact"]
[105, 'Integrate ideas from different parts and different multimodal elements of the text']
[106, 'Make text-to-self connections by linking personal experiences to events/ideas represented in the text']
[107, 'Make predictions about what might be presented next in the text and refine predictions as the text is read and/or viewed']
[108, "Show awareness of how the writer's use of language varies acording to purpose and audience to achieve impact"]
[109, 'Draw on prior knowledge and contextual clues to facilitate comprehension of texts']
[110, 'Clarify or enhance meaning of unfamiliar words or ideas']
[111, 'Create mental images that reflect or represent the ideas in the text']
[112, 'Paraphrase information or ideas using own words or synonyms/antonyms']
[113, 'Summarise ideas from one/multiple paragraphs']
[114, 'Compare and contrast: two or more ideas in a text; topics or themes across texts; textual and visual information in a text']
[115, 'Distinguish fact from opinion']
[116, 'Make generalisations by identifying general patterns from more than one source']
[117, 'Make text-to-text connections by linking texts of similar or different topics/themes/ideas']
[118, 'Make text-to-world connections by linking real-world events to events represented in the text']
[119, 'Compare and contrast texts that use different linguistic and non-linguistic choices to represent similar information, ideas and/or events']
[120, 'Use ideas presented in the different semiotic modes to demonstrate understanding of the themes, characters, setting and plot']
[121, 'Recognise how characterisation is achieved through: qualities/traits; facial expression and body language']
[122, 'Identify and interpret texts from different points of view']
[123, 'Recognise the use of semiotic modes in the writer’s craft to enhance the response to and appreciation of texts']
[124, 'Recognise how text layout and the ideas presented in different semiotic modes enhance understanding of the text']
[125, 'Use information presented in different semiotic modes to construct meaning']
[126, 'Examine how specific visual representations enhance the meaningin the written text']
[127, 'Make relevant connections to ideas and information beyond texts read and/or viewed and apply knowledge across language and subject areas']
[128, 'Apply the knowledge from reading and viewing widely and intensively to listening, speaking, writing and representing in order to demonstrate the meaningful use of language']
[129, 'Navigate and gather information from a range of print, non-print and digital networked sources']
[130, 'Show interest in reading and viewing']
[131, 'Writing & Representing']
[132, 'Mightier than the Sword']
[133, 'The Science of Writing']
[134, 'Personal X Critical Responder Yagami']
[135, 'Chronicles of SS Sang Nila']
[136, 'Graphic Content Ahead']
[137, 'Reviewing & Revising with Writing Cat!']
[138, 'Voices at Play: Strategy Toolkits']
[139, 'How to Learn Spelling']
[140, 'Into the Deep']
[141, 'Follow My Lead!']
[142, 'App Review']
[143, 'Write accurately by applying spelling strategies']
[144, 'Write accurately using knowledge of grammar and vocabulary']
[145, 'Apply spelling rules and conventions consistently']
[146, 'Plan by identifying the purpose, audience, context and culture (which determine register and tone), and by setting goals for assigned or self-selected writing and representing tasks or topics']
[147, 'Stimulate imagination, generate and/or gather ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies']
[148, 'Gather and select information and ideas from one or multiple print, non-print and digital networked sources, appropriate to the writer’s purpose, needs of the audience, context and culture']
[149, 'Use and/or combine information from texts to create new understandings and ideas, according to purpose, audience, context and culture']
[150, 'Ensure coherence and cohesion in a text by: selecting organisational patterns appropriate to purpose, audience, context and culture; selecting and using a combination of semiotic features such that they contribute to the overall meaning of a text']
[151, 'Elaborate on, explain, support and/or justify the key points, events or plot of a text by providing relevant descriptive, factual, emotive or sensory details and/or examples, where appropriate']
[152, 'Introduce the main idea in a paragraph using key words, phrases and clauses or a topic sentence, where appropriate']
[153, 'Use appropriate cohesive devices to indicate relationships between the different sentences/paragraphs and the key message of a text']
[154, 'Select and use appropriate language features to address the purpose, audience, context and culture of the text created and to adopt a desired register and tone']
[155, 'Review and revise drafts to enhance relevance, focus, and clarity in expression of meaning']
[156, 'Edit and proofread drafts by: correcting language features for grammatical accuracy and clarity of meaning; improving the layout of a text for ease of reading and viewing']
[157, "Evaluate information, ideas and/or multimedia elements from a variety of print, non-print and digital networked sources appropriate to the writer's purpose, needs of the audience, context and culture, using learner strategies"]
[158, 'Organise facts, ideas and/or points of view in a way appropriate to the mode of delivery, purpose and audience']
[159, 'Consider how the various semiotic modes work together to convey the intended message of a text']
[160, 'Plan how to convey and support the key message of a text with factual or descriptive details and/or examples appropriate to purpose, audience, context and culture']
[161, 'Select and use appropriate semiotic features to complement the intended message in a text, for effect']
[162, 'Respond to an event or experience(s) or text(s) in a personal way']
[163, 'Express feelings and thoughts through freewriting on self-selected topics, using emotive or sensory details']
[164, 'Stimulate imagination and generate and/or gather ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies']
[165, 'Generate, gather and/ or construct ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies']
[166, 'Grammar']
[167, 'Grammarcast']
[168, 'Grammarcast: More SVA!']
[169, 'Chronicles of Captain Connector']
[170, "Let's Use"]
[171, 'Word Stacker']
[172, 'Adverbials in Action']
[173, 'App Review']
[174, 'Form nouns from other words']
[175, 'Use adjectives as nouns']
[176, 'Expand nouns into noun phrases']
[177, 'Use -ing participles as nouns']
[178, 'Use nouns and noun phrases in apposition to provide more information']
[179, 'Use of relative pronouns: who, which, whose, that']
[180, 'Use quantifiers (indicate and/or highlight quantity of nouns) before nouns']
[181, 'Distinguish between the meanings of adjectives with an -ing participle and adjectives with an -ed/-en participle']
[182, 'Use different types of verbs']
[183, 'Identify verbs according to meaning']
[184, 'Use different forms of verbs']
[185, 'Use verbs with different transitivity']
[186, 'Form common phrasal verbs']
[187, 'Form different verb phrases: with two verbs; with three verbs; with four verbs']
[188, 'Use verbs / verb phrases with different time/tense/aspect']
[189, 'Distinguish between verbs with different time/tense/aspect']
[190, 'Use modals and semi-modals to express a variety of meanings']
[191, 'Use prepositions to convey a variety of meanings']
[192, 'Use a variety of conjunctions to express different relationships between similar groups of words']
[193, 'Construct a variety of sentences: compound sentences; complex sentences']
[194, 'Construct different forms of sentences: interrogatives; exclamatives']
[195, 'Use sentences to convey different meanings: statements to provide information; questions to get information or to check something; commands/requests to have something done; exclamations to express strong feelings']
[196, 'Vary the way sentences are written: using direct speech; using reported speech; altering the voice; fronting; using conjunctions for parallel structures; constructing negative sentences; using a dummy subject; expanding sentences to give more details']
[197, 'Use appropriate subject-verb agreement']
[198, 'Use appropriate language structures to convey thoughts and opinions in interactions with others']
[199, 'Use punctuation appropriately']
[200, 'Use error analysis to identify, define, explain and edit errors']
[201, 'Create cohesion across different clauses, sentences and paragraphs through: reference, grammatical substitution, ellipsis and connectors']
[202, 'Recognise and use the predominant language features to achieve the intended purposes of the various texts']
[203, 'Use the following learnt from Primary 1 to 4: different types of nouns and making uncountable nouns countable']
[204, 'Use the following learnt from Primary 1 to 4: different types of pronouns']
[205, 'Use the following learnt from Primary 1 to 4: form simple sentences']
[206, 'Vocabulary']
[207, 'Word Power']
[208, 'Fast Phrasals']
[209, 'Into the Deep']
[210, 'App Review']
[211, 'Recognise how words are formed']
[212, 'Deduce the meaning of words from how they relate to one another']
[213, 'Deduce the meaning of words from how they are used in context']
[214, 'Deduce the meaning of fixed expressions and words used for literary effect, from how they are used in context']
[215, 'Deduce how semiotic modes convey meaning in texts']
[216, 'Develop rich vocabulary']
[217, 'Recognise and use words suitable for purpose, audience, context and culture in relation to: medium; variations in register; region; types of texts for different purposes']
[218, 'Recognise and use fixed expressions accurately and appropriately: phrasal verbs; collocations; idioms; proverbs']
[219, 'Recognise and appreciate words used for effect: onomatopoeia; similes; metaphors; imagery; hyperbole; personification']
[220, 'Use words meaningfully in conjunction with semiotic modes']
[221, 'Others']
[222, 'An Alien’s Mission']
[223, 'English After School']
